Date : 2026-03-10 11:56:41
Directory : c:\Users\dariu\Desktop\programming\flavorSynthesizer
Total : 180 files,  20807 codes, 1173 comments, 2848 blanks, all 24828 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\editor\EditorTutorialManager.tsx                               | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\editor\initialLandingEditor\IntitialLandingEditorTutorial.scss | SCSS               |          7 |          0 |          0 |          7 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\editor\initialLandingEditor\IntitialLandingEditorTutorial.tsx  | TypeScript JSX     |         86 |          0 |         13 |         99 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\editor\selectMainFlavor\SelectMainFlavorTutorial.tsx           | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\editor\share\ShareTutorial.tsx                                 | TypeScript JSX     |         28 |          0 |          6 |         34 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\editor\synthLine\SynthLineTutorial.tsx                         | TypeScript JSX     |         96 |          0 |         12 |        108 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\home\HomeTutorial.tsx                                          | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\hooks\TutorialStepHook.ts                                      | TypeScript         |         28 |          0 |          6 |         34 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\openShared\OpenSharedTutorial.tsx                              | TypeScript JSX     |         33 |          0 |          4 |         37 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\restaurant\RestuarantTutorial.scss                             | SCSS               |          7 |          0 |          0 |          7 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\restaurant\RestuarantTutorial.tsx                              | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentDish.ts                                                             | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentDraggingElementTouch.ts                                             | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentInterPlayerDragContext.ts                                           | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentlyPlayingContext.ts                                                 | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\DishActions.ts                                                             | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\DishesContext.ts                                                           | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\FlavorSynthContextMenuContext.ts                                           | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\GameStateContext.ts                                                        | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\LoadingAnimationContext.ts                                                 | TypeScript         |         25 |          0 |          3 |         28 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\MainFlavorContext.ts                                                       | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\SynthChangeContext.ts                                                      | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\SynthLinesContext.ts                                                       | TypeScript         |         33 |          2 |          3 |         38 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\SynthSelectorContext.ts                                                    | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\TitleContext.tsx                                                           | TypeScript JSX     |         19 |          0 |          6 |         25 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\TooltipContext.ts                                                          | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\TouchCheckerContext.ts                                                     | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\UserContext.ts                                                             | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\download\DownloadManager.ts                                                         | TypeScript         |        158 |         26 |         29 |        213 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\download\ImageDownloadManager.ts                                                    | TypeScript         |        149 |          0 |          8 |        157 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\hooks\Debounce.ts                                                                   | TypeScript         |         11 |          0 |          0 |         11 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\hooks\Fetch.ts                                                                      | TypeScript         |         91 |          0 |         23 |        114 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\hooks\JsObjectHook.ts                                                               | TypeScript         |        101 |          0 |         40 |        141 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\hooks\TutorialStarter.ts                                                            | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\main\index.scss                                                                     | SCSS               |        263 |         11 |         53 |        327 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\main\main.tsx                                                                       | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Images.scss                                                                   | SCSS               |          4 |          0 |          0 |          4 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Network.ts                                                                    | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Statics.ts                                                                    | TypeScript         |          3 |          1 |          1 |          5 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\UserUtils.ts                                                                  | TypeScript         |         80 |          0 |          7 |         87 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Utils.ts                                                                      | TypeScript         |         98 |          0 |         20 |        118 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Variables.scss                                                                | SCSS               |         98 |         67 |         40 |        205 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\clamp.scss                                                                    | SCSS               |         38 |          0 |          8 |         46 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\todo.md                                                                                 | Markdown           |         11 |          0 |          5 |         16 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\tsconfig.app.json                                                                       | JSON               |         24 |          2 |          3 |         29 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\tsconfig.json                                                                           | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\tsconfig.node.json                                                                      | JSON               |         22 |          2 |          3 |         27 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\vite.config.ts                                                                          | TypeScript         |         23 |          1 |          2 |         26 |
| Total                                                                                                                                        |                    |     20,807 |      1,173 |      2,848 |     24,828 |
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
